"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_LVA","Data source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","LVA","Latvia","","729.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2002","2002","","WPR","Western Pacific","","MHL","Marshall Islands","","881.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2007","2007","","WPR","Western Pacific","","MHL","Marshall Islands","","2909.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","MHL","Marshall Islands","","3875.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2003","2003","","WPR","Western Pacific","","MHL","Marshall Islands","","1350.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2004","2004","","WPR","Western Pacific","","MHL","Marshall Islands","","1369.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","MHL","Marshall Islands","","2330.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MHL","Data source","","PUBLISHED","Published","","2006","2006","","WPR","Western Pacific","","MHL","Marshall Islands","","3010.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","1997","1997","","WPR","Western Pacific","","MNG","Mongolia","","3414.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2003","2003","","WPR","Western Pacific","","MNG","Mongolia","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","MNG","Mongolia","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","1998","1998","","WPR","Western Pacific","","MNG","Mongolia","","3751.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","MNG","Mongolia","","3850.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2001","2001","","WPR","Western Pacific","","MNG","Mongolia","","4784.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2007","2007","","WPR","Western Pacific","","MNG","Mongolia","","5268.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2004","2004","","WPR","Western Pacific","","MNG","Mongolia","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","1999","1999","","WPR","Western Pacific","","MNG","Mongolia","","4222","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2006","2006","","WPR","Western Pacific","","MNG","Mongolia","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2002","2002","","WPR","Western Pacific","","MNG","Mongolia","","6187.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_MNG","Data source","","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","MNG","Mongolia","","5294.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1991","1991","","EUR","Europe","","NOR","Norway","","178.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","NOR","Norway","","50.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","NOR","Norway","","45.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2000","2000","","EUR","Europe","","NOR","Norway","","56","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2001","2001","","EUR","Europe","","NOR","Norway","","63.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","NOR","Norway","","178.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1992","1992","","EUR","Europe","","NOR","Norway","","178.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1996","1996","","EUR","Europe","","NOR","Norway","","61.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","NOR","Norway","","54.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","NOR","Norway","","47.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","NOR","Norway","","30.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1994","1994","","EUR","Europe","","NOR","Norway","","64.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","NOR","Norway","","24.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","NOR","Norway","","48.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","NOR","Norway","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","NOR","Norway","","43.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","NOR","Norway","","27","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1993","1993","","EUR","Europe","","NOR","Norway","","177.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","NOR","Norway","","71.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","NOR","Norway","","20.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2002","2002","","EUR","Europe","","NOR","Norway","","68.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_NOR","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","NOR","Norway","","42.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2009","2009","","WPR","Western Pacific","","PLW","Palau","","226.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","PLW","Palau","","1403.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","1996","1996","","WPR","Western Pacific","","PLW","Palau","","1956.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","PLW","Palau","","552","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","PLW","Palau","","163.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2007","2007","","WPR","Western Pacific","","PLW","Palau","","815.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2011","2011","","WPR","Western Pacific","","PLW","Palau","","485.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","PLW","Palau","","360.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_PLW","Data source","","PUBLISHED","Published","","2013","2013","","WPR","Western Pacific","","PLW","Palau","","1161.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_POL","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","POL","Poland","","582.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","SVN","Slovenia","","20.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","SVN","Slovenia","","53.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","SVN","Slovenia","","76","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","SVN","Slovenia","","43.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","SVN","Slovenia","","37.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","SVN","Slovenia","","41.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SVN","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","SVN","Slovenia","","51.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1992","1992","","EUR","Europe","","SWE","Sweden","","843.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2002","2002","","EUR","Europe","","SWE","Sweden","","586.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","SWE","Sweden","","663.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","SWE","Sweden","","877.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","SWE","Sweden","","683.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","SWE","Sweden","","717.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1991","1991","","EUR","Europe","","SWE","Sweden","","858.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1993","1993","","EUR","Europe","","SWE","Sweden","","831.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","SWE","Sweden","","721.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2001","2001","","EUR","Europe","","SWE","Sweden","","748.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","SWE","Sweden","","534.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","SWE","Sweden","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","SWE","Sweden","","653.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1994","1994","","EUR","Europe","","SWE","Sweden","","908.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","SWE","Sweden","","507.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1996","1996","","EUR","Europe","","SWE","Sweden","","654.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","SWE","Sweden","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2000","2000","","EUR","Europe","","SWE","Sweden","","691.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","SWE","Sweden","","540.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_SWE","Data source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","SWE","Sweden","","614.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_TON","Data source","","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","TON","Tonga","","1183.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_TON","Data source","","PUBLISHED","Published","","1992","1992","","WPR","Western Pacific","","TON","Tonga","","1582.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_TON","Data source","","PUBLISHED","Published","","1994","1994","","WPR","Western Pacific","","TON","Tonga","","1094.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_TON","Data source","","PUBLISHED","Published","","1991","1991","","WPR","Western Pacific","","TON","Tonga","","929.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_TON","Data source","","PUBLISHED","Published","","1993","1993","","WPR","Western Pacific","","TON","Tonga","","1115.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","1993","1993","","EUR","Europe","","UKR","Ukraine","","2321.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","UKR","Ukraine","","848.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","UKR","Ukraine","","1369.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","UKR","Ukraine","","772.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","UKR","Ukraine","","875.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","UKR","Ukraine","","1214.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","1994","1994","","EUR","Europe","","UKR","Ukraine","","2329.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2000","2000","","EUR","Europe","","UKR","Ukraine","","1416.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","UKR","Ukraine","","949.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","UKR","Ukraine","","1527.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","UKR","Ukraine","","826.1","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2001","2001","","EUR","Europe","","UKR","Ukraine","","No data","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","UKR","Ukraine","","2871.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","UKR","Ukraine","","484.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2002","2002","","EUR","Europe","","UKR","Ukraine","","987.5","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2013","2013","","EUR","Europe","","UKR","Ukraine","","900.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","UKR","Ukraine","","1363.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","UKR","Ukraine","","540.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_UKR","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","UKR","Ukraine","","1000.4","","","","","",""
