GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001547,2014,2014,,EUR,Europe,,LUX,Luxembourg,,SA_SPIRITS,Spirits,,1041.15,1041.15,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,NLD,Netherlands,,SA_WINE,Wine,,88.36,88.36,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,NOR,Norway,,SA_SPIRITS,Spirits,,7349,7349,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,SWE,Sweden,,SA_SPIRITS,Spirits,,5624.86,5624.86,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,CHE,Switzerland,,SA_BEER,Beer,,320,320,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,TUR,Türkiye,,SA_SPIRITS,Spirits,,3348,3348,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,TUR,Türkiye,,SA_BEER,Beer,,2112,2112,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,AUT,Austria,,SA_BEER,Beer,,25,25,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,BGR,Bulgaria,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,BGR,Bulgaria,,SA_SPIRITS,Spirits,,562.43,562.43,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,CYP,Cyprus,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,CYP,Cyprus,,SA_SPIRITS,Spirits,,598.01,598.01,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,CZE,Czechia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,CZE,Czechia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,DNK,Denmark,,SA_BEER,Beer,,32.8,32.8,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,DNK,Denmark,,SA_WINE,Wine,,82.5,82.5,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,EST,Estonia,,SA_BEER,Beer,,27,27,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,EST,Estonia,,SA_WINE,Wine,,76.8,76.8,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,FIN,Finland,,SA_BEER,Beer,,299,299,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,FIN,Finland,,SA_BEER,Beer,,143.52,143.52,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,FIN,Finland,,SA_WINE,Wine,,312,312,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,FRA,France,,SA_BEER,Beer,,13.2,13.2,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,DEU,Germany,,SA_SPIRITS,Spirits,,1303,1303,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,GRC,Greece,,SA_BEER,Beer,,13.6,13.6,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,HUN,Hungary,,SA_BEER,Beer,,26.8,26.8,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,ISL,Iceland,,SA_SPIRITS,Spirits,,6825,6825,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,ITA,Italy,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,ITA,Italy,,SA_SPIRITS,Spirits,,800.01,800.01,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,LVA,Latvia,,SA_WINE,Wine,,63.5,63.5,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,LVA,Latvia,,SA_SPIRITS,Spirits,,1256.5,1256.5,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,LTU,Lithuania,,SA_BEER,Beer,,11.8,11.8,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,LTU,Lithuania,,SA_WINE,Wine,,57.34,57.34,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,LTU,Lithuania,,SA_WINE,Wine,,57.34,57.34,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,LUX,Luxembourg,,SA_BEER,Beer,,9.5,9.5,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,LUX,Luxembourg,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,MLT,Malta,,SA_BEER,Beer,,9,9,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,MLT,Malta,,SA_WINE,Wine,,0,0,,,,,
