GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001476,2003,2003,,EUR,Europe,,EST,Estonia,,2.1,2.1,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,EST,Estonia,,1.9,1.9,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,FIN,Finland,,5.6,5.6,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,FIN,Finland,,5.4,5.4,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,GEO,Georgia,,1.1,1.1,,,,,
SA_0000001476,2000,2000,,EUR,Europe,,GRC,Greece,,0.9,0.9,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,ISL,Iceland,,2.9,2.9,,,,,
SA_0000001476,1996,1996,,EUR,Europe,,ITA,Italy,,0.9,0.9,,,,,
SA_0000001476,1997,1997,,EUR,Europe,,ITA,Italy,,0.8,0.8,,,,,
SA_0000001476,1993,1993,,WPR,Western Pacific,,JPN,Japan,,1.2,1.2,,,,,
SA_0000001476,1994,1994,,WPR,Western Pacific,,JPN,Japan,,1.1,1.1,,,,,
SA_0000001476,2012,2012,,WPR,Western Pacific,,JPN,Japan,,1.6,1.6,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,KAZ,Kazakhstan,,5.4,5.4,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,LTU,Lithuania,,2.5,2.5,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,LTU,Lithuania,,2.4,2.4,,,,,
SA_0000001476,2013,2013,,WPR,Western Pacific,,NZL,New Zealand,,1.9,1.9,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,NOR,Norway,,4.6,4.6,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,ARM,Armenia,,1.6,1.6,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,ARM,Armenia,,1.6,1.6,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,NOR,Norway,,3.2,3.2,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,NOR,Norway,,2.8,2.8,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,NOR,Norway,,2.7,2.7,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,RUS,Russian Federation,,1.9,1.9,,,,,
SA_0000001476,2002,2002,,EUR,Europe,,SWE,Sweden,,3,3,,,,,
SA_0000001476,2003,2003,,EUR,Europe,,SWE,Sweden,,3,3,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,TJK,Tajikistan,,0.2,0.2,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,TJK,Tajikistan,,0.2,0.2,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,TKM,Turkmenistan,,4,4,,,,,
