GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001554,2016,2016,,AFR,Africa,,SLE,Sierra Leone,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,SWZ,Eswatini,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,TZA,United Republic of Tanzania,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,MEX,Mexico,,Yes,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,LBY,Libya,,Total ban,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,PAK,Pakistan,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,SOM,Somalia,,Total ban,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,EST,Estonia,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,GEO,Georgia,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,HUN,Hungary,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,RUS,Russian Federation,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,SVK,Slovakia,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,SWE,Sweden,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,KHM,Cambodia,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,LAO,Lao People's Democratic Republic,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,AGO,Angola,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,GMB,Gambia,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,CMR,Cameroon,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,CRI,Costa Rica,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,MUS,Mauritius,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,STP,Sao Tome and Principe,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,SSD,South Sudan,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,ZWE,Zimbabwe,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,JAM,Jamaica,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,KNA,Saint Kitts and Nevis,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,USA,United States of America,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,EGY,Egypt,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,AZE,Azerbaijan,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,CYP,Cyprus,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,FRA,France,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,IRL,Ireland,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ESP,Spain,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,TKM,Turkmenistan,,Yes,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,NLD,Netherlands,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,KIR,Kiribati,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,PHL,Philippines,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,CPV,Cabo Verde,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,CIV,Côte d'Ivoire,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,GAB,Gabon,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,LSO,Lesotho,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,RWA,Rwanda,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,ZMB,Zambia,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,BLZ,Belize,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,COL,Colombia,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,SLV,El Salvador,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,PER,Peru,,Yes,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,DJI,Djibouti,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,LBN,Lebanon,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,Total ban,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,HRV,Croatia,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ISL,Iceland,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,LVA,Latvia,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,MNE,Montenegro,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ROU,Romania,,Yes,,,,,,
